Home,Home Win %,Home Odds,Away,Away Win %,Away Odds
Atlanta Hawks,0.7871122,1.2069435,Houston Rockets,0.21288782,4.462444
Atlanta Hawks,0.8741332,1.0867909,Indiana Pacers,0.12586677,7.547663
Atlanta Hawks,0.26984578,3.5205293,Miami Heat,0.7301542,1.301095
Atlanta Hawks,0.7270884,1.3065811,Orlando Magic,0.2729116,3.4809804
Atlanta Hawks,0.8968127,1.0593071,Washington Wizards,0.10318732,9.206556
Atlanta Hawks,0.70974624,1.3385066,Los Angeles Clippers,0.29025376,3.272998
Atlanta Hawks,0.9421771,1.0083029,Charlotte Bobcats,0.057822883,16.429482
Atlanta Hawks,0.6662418,1.4259087,Cleveland Cavaliers,0.33375818,2.8463721
Atlanta Hawks,0.72086525,1.3178607,Denver Nuggets,0.27913475,3.403374
Atlanta Hawks,0.7697749,1.234127,Washington Wizards,0.23022509,4.1263967
Atlanta Hawks,0.8868912,1.0711573,Charlotte Bobcats,0.113108814,8.398993
Atlanta Hawks,0.31209657,3.0439298,Golden State Warriors,0.6879034,1.3810078
Atlanta Hawks,0.4860574,1.9545016,Oklahoma City Thunder,0.5139426,1.8484554
Atlanta Hawks,0.6241534,1.5220618,Chicago Bulls,0.37584662,2.5276268
Atlanta Hawks,0.46954587,2.0232315,Detroit Pistons,0.53045416,1.7909181
Atlanta Hawks,0.7241149,1.3119465,Indiana Pacers,0.2758851,3.4434624
Atlanta Hawks,0.5908478,1.6078591,Boston Celtics,0.4091522,2.3218744
Atlanta Hawks,0.6535116,1.453685,Utah Jazz,0.34648842,2.7417943
Atlanta Hawks,0.30292282,3.1361125,Brooklyn Nets,0.69707716,1.3628333
Atlanta Hawks,0.09828227,9.666037,San Antonio Spurs,0.9017177,1.0535448
Atlanta Hawks,0.6374706,1.4902648,Minnesota Timberwolves,0.3625294,2.6204772
Atlanta Hawks,0.8713885,1.090214,Boston Celtics,0.1286115,7.3865867
Atlanta Hawks,0.82700926,1.1487175,Toronto Raptors,0.17299074,5.4916234
Atlanta Hawks,0.741591,1.2810296,Chicago Bulls,0.25840902,3.6763422
Atlanta Hawks,0.6906007,1.3756139,Memphis Grizzlies,0.3093993,3.0704658
Atlanta Hawks,0.5834658,1.6282017,New Orleans Hornets,0.4165342,2.280725
Atlanta Hawks,0.096738994,9.820238,Miami Heat,0.903261,1.0517448
Atlanta Hawks,0.8183573,1.1608622,Sacramento Kings,0.18164271,5.230047
Atlanta Hawks,0.3705259,2.5639234,Philadelphia 76ers,0.6294741,1.5091963
Atlanta Hawks,0.31135568,3.051173,Brooklyn Nets,0.6886443,1.3795221
Atlanta Hawks,0.40772408,2.330007,Los Angeles Lakers,0.5922759,1.6039822
Atlanta Hawks,0.90194595,1.0532782,Phoenix Suns,0.09805405,9.688534
Atlanta Hawks,0.33379126,2.84609,Dallas Mavericks,0.66620874,1.4259795
Atlanta Hawks,0.9148439,1.0384285,Milwaukee Bucks,0.08515608,11.155985
Atlanta Hawks,0.52518266,1.8088945,Portland Trail Blazers,0.47481734,2.0007694
Atlanta Hawks,0.6808427,1.3953296,Orlando Magic,0.3191573,2.9765885
