Home,Home Win %,Home Odds,Away,Away Win %,Away Odds
Atlanta Hawks,0.7871122,1.2704669,Houston Rockets,0.21288782,4.6973095
Atlanta Hawks,0.8741332,1.1439904,Indiana Pacers,0.12586677,7.9449086
Atlanta Hawks,0.26984578,3.7058203,Miami Heat,0.7301542,1.3695737
Atlanta Hawks,0.7270884,1.3753486,Orlando Magic,0.2729116,3.66419
Atlanta Hawks,0.8968127,1.1150601,Washington Wizards,0.10318732,9.6911125
Atlanta Hawks,0.70974624,1.4089543,Los Angeles Clippers,0.29025376,3.4452612
Atlanta Hawks,0.9421771,1.0613716,Charlotte Bobcats,0.057822883,17.294191
Atlanta Hawks,0.6662418,1.5009565,Cleveland Cavaliers,0.33375818,2.9961812
Atlanta Hawks,0.72086525,1.3872218,Denver Nuggets,0.27913475,3.582499
Atlanta Hawks,0.7697749,1.2990811,Washington Wizards,0.23022509,4.3435755
Atlanta Hawks,0.8868912,1.127534,Charlotte Bobcats,0.113108814,8.841044
Atlanta Hawks,0.31209657,3.2041366,Golden State Warriors,0.6879034,1.4536924
Atlanta Hawks,0.4860574,2.0573702,Oklahoma City Thunder,0.5139426,1.9457426
Atlanta Hawks,0.6241534,1.6021703,Chicago Bulls,0.37584662,2.6606598
Atlanta Hawks,0.46954587,2.1297174,Detroit Pistons,0.53045416,1.885177
Atlanta Hawks,0.7241149,1.3809963,Indiana Pacers,0.2758851,3.6246972
Atlanta Hawks,0.5908478,1.6924833,Boston Celtics,0.4091522,2.4440782
Atlanta Hawks,0.6535116,1.5301948,Utah Jazz,0.34648842,2.8860993
Atlanta Hawks,0.30292282,3.301171,Brooklyn Nets,0.69707716,1.4345614
Atlanta Hawks,0.09828227,10.174775,San Antonio Spurs,0.9017177,1.1089945
Atlanta Hawks,0.6374706,1.5686998,Minnesota Timberwolves,0.3625294,2.758397
Atlanta Hawks,0.8713885,1.1475937,Boston Celtics,0.1286115,7.7753544
Atlanta Hawks,0.82700926,1.2091763,Toronto Raptors,0.17299074,5.7806563
Atlanta Hawks,0.741591,1.3484522,Chicago Bulls,0.25840902,3.869834
Atlanta Hawks,0.6906007,1.4480147,Memphis Grizzlies,0.3093993,3.2320693
Atlanta Hawks,0.5834658,1.7138965,New Orleans Hornets,0.4165342,2.4007633
Atlanta Hawks,0.096738994,10.337093,Miami Heat,0.903261,1.1070998
Atlanta Hawks,0.8183573,1.2219602,Sacramento Kings,0.18164271,5.505313
Atlanta Hawks,0.3705259,2.6988666,Philadelphia 76ers,0.6294741,1.5886277
Atlanta Hawks,0.31135568,3.211761,Brooklyn Nets,0.6886443,1.4521285
Atlanta Hawks,0.40772408,2.452639,Los Angeles Lakers,0.5922759,1.6884023
Atlanta Hawks,0.90194595,1.1087139,Phoenix Suns,0.09805405,10.198457
Atlanta Hawks,0.33379126,2.9958844,Dallas Mavericks,0.66620874,1.501031
Atlanta Hawks,0.9148439,1.0930827,Milwaukee Bucks,0.08515608,11.743142
Atlanta Hawks,0.52518266,1.9040995,Portland Trail Blazers,0.47481734,2.1060731
Atlanta Hawks,0.6808427,1.468768,Orlando Magic,0.3191573,3.1332512
Atlanta Hawks,0.79864806,1.252116,Cleveland Cavaliers,0.20135194,4.9664283
Atlanta Hawks,0.11730636,8.524687,New York Knicks,0.88269365,1.1328958
Atlanta Hawks,0.26096,3.8320048,Philadelphia 76ers,0.73904,1.3531067
Atlanta Hawks,0.7843388,1.2749593,Milwaukee Bucks,0.21566123,4.6369023
Atlanta Hawks,0.77765167,1.2859228,Toronto Raptors,0.22234833,4.4974475
Atlanta Hawks,0.3835234,2.6074028,Toronto Raptors,0.6164766,1.6221216
Atlanta Hawks,0.65036744,1.5375924,Orlando Magic,0.34963256,2.8601456
Atlanta Hawks,0.7071622,1.4141027,New York Knicks,0.2928378,3.4148598
Atlanta Hawks,0.5614167,1.7812082,Philadelphia 76ers,0.4385833,2.2800684
Atlanta Hawks,0.7693798,1.2997482,Detroit Pistons,0.2306202,4.3361335
Atlanta Hawks,0.71058655,1.4072881,Boston Celtics,0.28941345,3.4552643
Atlanta Hawks,0.534355,1.8714151,Orlando Magic,0.46564502,2.1475587
Atlanta Hawks,0.37878045,2.6400518,Dallas Mavericks,0.6212195,1.6097369
Atlanta Hawks,0.36984584,2.7038293,Los Angeles Clippers,0.63015413,1.5869133
Atlanta Hawks,0.8285157,1.2069777,Cleveland Cavaliers,0.17148429,5.831438
Atlanta Hawks,0.3303202,3.0273654,Oklahoma City Thunder,0.66967976,1.4932511
Atlanta Hawks,0.48279846,2.0712576,Washington Wizards,0.51720154,1.9334823
Atlanta Hawks,0.90928036,1.0997708,Los Angeles Lakers,0.09071964,11.022971
Atlanta Hawks,0.8999449,1.1111791,Sacramento Kings,0.1000551,9.9944935
Atlanta Hawks,0.977216,1.0233152,Utah Jazz,0.022783995,43.89046
Atlanta Hawks,0.7117759,1.4049366,Charlotte Bobcats,0.2882241,3.4695225
Atlanta Hawks,0.20310454,4.923573,Golden State Warriors,0.79689544,1.2548698
Atlanta Hawks,0.91900593,1.0881323,Indiana Pacers,0.08099407,12.346583
Atlanta Hawks,0.45051846,2.2196648,Houston Rockets,0.5494815,1.8198974
Atlanta Hawks,0.14096971,7.0937223,Brooklyn Nets,0.8590303,1.1641033
Atlanta Hawks,0.5760597,1.7359312,Miami Heat,0.4239403,2.3588226
Atlanta Hawks,0.13925295,7.1811767,San Antonio Spurs,0.86074704,1.1617815
Atlanta Hawks,0.8722448,1.1464672,Minnesota Timberwolves,0.12775522,7.8274684
Atlanta Hawks,0.67050207,1.4914197,Indiana Pacers,0.32949793,3.0349205
Atlanta Hawks,0.69438004,1.4401336,Memphis Grizzlies,0.30561996,3.2720377
Atlanta Hawks,0.18208405,5.491969,Washington Wizards,0.8179159,1.2226195
Atlanta Hawks,0.50863755,1.9660366,New York Knicks,0.49136245,2.0351574
Atlanta Hawks,0.2779643,3.5975845,Chicago Bulls,0.7220357,1.384973
Atlanta Hawks,0.3401039,2.940278,Milwaukee Bucks,0.65989614,1.51539
Atlanta Hawks,0.49472708,2.0213165,Denver Nuggets,0.5052729,1.9791284
Atlanta Hawks,0.5507618,1.8156669,Toronto Raptors,0.44923818,2.2259908
Atlanta Hawks,0.43010086,2.325036,New Orleans Pelicans,0.56989914,1.7546965
Atlanta Hawks,0.32462308,3.0804956,Phoenix Suns,0.6753769,1.4806547
Atlanta Hawks,0.26696327,3.7458336,Portland Trail Blazers,0.73303676,1.3641881
Atlanta Hawks,0.17383485,5.7525864,Philadelphia 76ers,0.82616514,1.2104118
Atlanta Hawks,0.10933655,9.146072,Chicago Bulls,0.89066344,1.1227585
Atlanta Hawks,0.32812235,3.0476437,Cleveland Cavaliers,0.6718776,1.4883662
Atlanta Hawks,0.093757585,10.665804,Detroit Pistons,0.90624243,1.1034575
Atlanta Hawks,0.9186355,1.0885711,Boston Celtics,0.08136451,12.29037
Atlanta Hawks,0.39529693,2.529744,Miami Heat,0.60470307,1.6537042
Atlanta Hawks,0.20812835,4.8047276,Charlotte Bobcats,0.79187167,1.2628309
Atlanta Hawks,0.7451034,1.3420956,Indiana Pacers,0.25489658,3.9231598
Atlanta Hawks,0.7835484,1.2762454,New York Knicks,0.21645159,4.619971
Atlanta Hawks,0.5381247,1.8583055,Utah Jazz,0.46187532,2.1650865
Atlanta Hawks,0.65622807,1.5238605,Miami Heat,0.34377193,2.9089053
Atlanta Hawks,0.33442318,2.9902234,Los Angeles Lakers,0.6655768,1.5024562
Atlanta Hawks,0.8322809,1.2015175,Detroit Pistons,0.16771913,5.9623494
Atlanta Hawks,0.31279996,3.1969314,Toronto Raptors,0.68720007,1.4551803
Atlanta Hawks,0.8350921,1.1974727,New Orleans Pelicans,0.16490787,6.063992
Atlanta Hawks,0.92611164,1.0797834,Charlotte Hornets,0.07388836,13.533931
Atlanta Hawks,0.8535161,1.1716241,Boston Celtics,0.1464839,6.826689
Atlanta Hawks,0.8084738,1.2368984,Denver Nuggets,0.19152617,5.2212186
Atlanta Hawks,0.9474862,1.0554243,Philadelphia 76ers,0.05251378,19.042622
Atlanta Hawks,0.7096235,1.4091979,Orlando Magic,0.29037648,3.443805
Atlanta Hawks,0.65901184,1.5174234,Chicago Bulls,0.34098816,2.9326532
Atlanta Hawks,0.66917187,1.4943844,Los Angeles Clippers,0.33082813,3.0227175
Atlanta Hawks,0.4796016,2.085064,Milwaukee Bucks,0.5203984,1.9216048
Atlanta Hawks,0.70492953,1.4185815,Cleveland Cavaliers,0.29507047,3.389021
Atlanta Hawks,0.8286456,1.2067885,Memphis Grizzlies,0.17135441,5.835858
Atlanta Hawks,0.95668465,1.0452765,Washington Wizards,0.04331535,23.086504
Atlanta Hawks,0.8949079,1.1174334,Detroit Pistons,0.10509211,9.515462
Atlanta Hawks,0.89468724,1.117709,Indiana Pacers,0.105312765,9.495525
Atlanta Hawks,0.590202,1.6943352,Oklahoma City Thunder,0.40979803,2.4402266
Atlanta Hawks,0.9754782,1.0251383,Minnesota Timberwolves,0.024521828,40.779995
Atlanta Hawks,0.93437773,1.070231,Brooklyn Nets,0.06562227,15.2387295
Atlanta Hawks,0.9192843,1.0878028,Portland Trail Blazers,0.080715716,12.389161
Atlanta Hawks,0.8847647,1.130244,Philadelphia 76ers,0.11523533,8.677895
Atlanta Hawks,0.7612586,1.313614,Washington Wizards,0.2387414,4.1886325
